Knot,Ropelength,Writhe,Average Crossing Number
12a382,108.14904,9.5264,47.41685398
12a383,106.32825,4.92563,49.07898288
12a384,105.86407,7.03309,49.6121791
12a385,108.98252,2.28323,49.90614346
12a386,107.55825,11.8208,49.05827767
12a387,106.72219,2.07288,50.69204103
12a388,106.97996,0.0514,49.94137222
12a389,107.20475,6.99968,50.63864961
12a390,109.56333,7.03257,48.49833346
12a391,108.56754,21.03411,49.18923286
12a392,105.2537,18.08799,48.68478436
12a393,107.96898,14.0112,48.40701238
12a394,108.48362,11.74868,48.9281458
12a395,106.2404,9.08666,49.41988197
12a396,106.14165,2.09068,49.43149595
12a397,107.40112,13.89513,49.79502726
12a398,107.46477,9.67173,49.52613017
12a399,108.72675,9.24791,50.29781098
12a400,107.19387,9.07109,50.65950539
12a401,105.66553,4.99383,48.14273266
12a402,107.7369,4.75275,51.29112295
12a403,108.27334,2.24058,50.0143938
12a404,106.20981,2.84946,50.32077295
12a405,106.18504,6.95668,50.47674862
12a406,110.62002,6.86096,49.05229519
12a407,107.4893,9.08887,50.2659292
12a408,107.48523,13.9326,50.46382388
12a409,105.46137,16.86641,48.71796378
12a410,106.40183,13.93308,49.07189523
12a411,107.2432,11.98907,48.40876584
12a412,107.75552,9.22843,48.41147429
12a413,108.49443,4.61524,49.38247677
12a414,107.12186,11.174,48.4199766
12a415,107.52257,0.0737,50.28966019
12a416,106.97448,4.94665,48.8465007
12a417,108.48439,6.96499,51.01394727
12a418,107.29664,4.88731,50.60232812
12a419,107.27541,4.80662,50.38842476
12a420,106.26549,21.03234,46.34191916
12a421,107.80651,18.1932,47.13140175
12a422,104.49822,7.91494,46.56027741
12a423,105.82433,4.93265,47.52771086
12a424,108.18429,4.93876,48.1874144
12a425,105.63312,2.02104,45.84698854
12a426,109.80413,0.28153,49.26299792
12a427,107.06636,0.06412,49.84448378
12a428,105.95896,2.01002,49.40881709
12a429,107.83847,4.98476,50.53874858
12a430,107.07103,11.87705,49.54375872
12a431,107.81535,20.93755,50.8117475
12a432,108.49194,20.94154,50.33057692
12a433,107.75163,13.85637,48.48180312
12a434,107.36122,5.0066,50.38182427
12a435,106.59722,0.03946,50.45686646
12a436,105.1854,4.98851,48.60809616
12a437,107.90858,2.16661,48.50321365
12a438,106.82452,2.19215,49.73177131
12a439,108.80536,0.13663,50.78231765
12a440,106.38208,12.07584,47.66872732
12a441,108.05283,9.25179,50.0124507
12a442,104.80222,20.99685,46.83426665
12a443,105.01194,18.20509,47.83124729
12a444,105.29593,13.94343,46.76396627
12a445,107.34076,4.79809,48.19212487
12a446,108.44369,4.76707,50.16834505
12a447,106.75034,1.98576,47.19656674
12a448,105.55757,4.12797,47.80254442
12a449,105.79587,5.00381,48.6163297
12a450,105.85995,9.08747,48.96249504
12a451,108.7175,4.91351,51.69565472
12a452,107.12223,0.04633,50.63746119
12a453,106.21492,0.04202,47.1381389
12a454,106.91534,2.85694,46.73405055
12a455,108.04269,4.95752,50.62558612
12a456,108.19105,0.02358,49.65892853
12a457,108.067,-2.7193,50.9564
12a458,106.94573,0.06765,50.11384402
12a459,107.54851,9.10557,50.85463811
12a460,107.02575,0.04258,50.86081241
12a461,107.39895,14.05206,50.11548997
12a462,105.54672,0.03826,49.52590581
12a463,105.37095,2.85053,46.38700575
12a464,106.38638,2.12134,50.24822053
12a465,107.52018,0.01327,50.23280502
12a466,106.35492,11.95523,50.33136305
12a467,107.12504,6.94145,51.34562436
12a468,106.12793,4.98802,50.08971632
12a469,106.24822,2.0727,49.79964454
12a470,107.84366,7.12955,50.62977838
12a471,107.06221,0.12327,45.20905859
12a472,109.37588,13.79694,50.56384441
12a473,107.6508,2.1076,50.97890421
12a474,107.16607,7.03517,50.38998635
12a475,108.07229,4.81544,50.75884457
12a476,105.81189,9.81217,49.16666375
12a477,108.6492,0.05809,47.12936116
12a478,108.34527,4.75059,48.77368983
12a479,107.23695,2.09596,51.37922363
12a480,107.57589,6.90168,50.15887917
12a481,106.20884,2.75712,47.21931758
12a482,104.37888,0.05133,44.74774822
12a483,107.09445,7.01017,50.38057439
12a484,107.53337,0.1283,51.05770844
12a485,107.80378,4.89152,49.9270463
12a486,108.66316,0.15181,49.98343845
12a487,108.0779,6.99405,51.04968905
12a488,105.73127,2.81038,49.55900753
12a489,106.30086,6.9375,49.27265764
12a490,106.93421,20.95402,49.76206531
12a491,108.26326,0.14416,51.79552755
12a492,106.49979,0.1229,50.14448513
